Motion detected in 284 frames
Frame 1: 1 objects detected
  Object 9: x=191, y=173, width=50, height=72
  Object 10: x=14, y=151, width=61, height=37
  Object 11: x=358, y=129, width=68, height=40
  Object 12: x=0, y=100, width=31, height=54
  Object 13: x=202, y=85, width=76, height=117
  Object 14: x=22, y=84, width=39, height=21
  Object 15: x=154, y=77, width=48, height=49
  Object 16: x=413, y=62, width=75, height=131
  Object 17: x=273, y=54, width=70, height=57
  Object 18: x=177, y=40, width=45, height=36
  Object 19: x=0, y=26, width=45, height=32
  Object 20: x=33, y=23, width=162, height=144
  Object 21: x=427, y=0, width=73, height=101
  Object 22: x=132, y=0, width=41, height=54
Frame 20: 23 objects detected
  Object 1: x=443, y=692, width=24, height=41
  Object 2: x=104, y=318, width=40, height=46
  Object 3: x=457, y=316, width=43, height=48
  Object 4: x=178, y=223, width=322, height=135
  Object 5: x=0, y=213, width=132, height=157
  Object 6: x=0, y=207, width=50, height=45
  Object 7: x=166, y=195, width=25, height=33
  Object 8: x=190, y=173, width=51, height=72
  Object 9: x=78, y=160, width=16, height=40
  Object 10: x=14, y=151, width=61, height=37
  Object 11: x=356, y=129, width=70, height=40
  Object 12: x=0, y=100, width=31, height=54
  Object 13: x=201, y=85, width=77, height=126
  Object 14: x=22, y=84, width=39, height=21
  Object 15: x=272, y=78, width=43, height=33
  Object 16: x=153, y=77, width=50, height=50
  Object 17: x=413, y=61, width=75, height=132
  Object 18: x=176, y=40, width=46, height=37
  Object 19: x=32, y=23, width=163, height=144
  Object 20: x=0, y=15, width=46, height=43
  Object 21: x=425, y=0, width=75, height=101
  Object 22: x=131, y=0, width=41, height=53
  Object 23: x=0, y=0, width=50, height=16
Frame 21: 20 objects detected
  Object 1: x=457, y=316, width=43, height=48
  Object 2: x=178, y=223, width=322, height=135
  Object 3: x=0, y=213, width=144, height=157
  Object 4: x=0, y=207, width=50, height=45
  Object 5: x=165, y=195, width=26, height=33
  Object 6: x=190, y=173, width=51, height=72
  Object 7: x=77, y=160, width=17, height=40
  Object 8: x=13, y=151, width=61, height=37
  Object 9: x=351, y=128, width=74, height=41
  Object 10: x=197, y=102, width=38, height=26
  Object 11: x=200, y=86, width=77, height=125
  Object 12: x=0, y=84, width=61, height=70
  Object 13: x=153, y=77, width=50, height=50
  Object 14: x=272, y=53, width=70, height=58
  Object 15: x=177, y=40, width=45, height=37
  Object 16: x=32, y=23, width=163, height=144
  Object 17: x=0, y=14, width=46, height=43
  Object 18: x=412, y=0, width=88, height=217
  Object 19: x=130, y=0, width=59, height=54
  Object 20: x=0, y=0, width=49, height=16
Frame 22: 21 objects detected
  Object 1: x=266, y=764, width=34, height=36
  Object 2: x=442, y=691, width=26, height=42
  Object 3: x=456, y=316, width=44, height=48
  Object 4: x=192, y=223, width=308, height=136
  Object 5: x=0, y=213, width=144, height=157
